Country,State,City,Station,Last Update,AQI Value,Predominant Parameter,PM2.5,PM10,NO2,NH3,SO2,CO,OZONE
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",20-07-2023 23:00:00,23.0,OZONE,22.0,19.0,6.0,5.0,10.0,16.0,23.0
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",20-07-2023 23:00:00,,,,,,,,,
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",20-07-2023 23:00:00,40.0,OZONE,27.0,27.0,9.0,1.0,6.0,8.0,40.0
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",20-07-2023 23:00:00,20.0,CO,8.0,14.0,13.0,3.0,8.0,20.0,8.0
India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",20-07-2023 23:00:00,45.0,PM10,22.0,45.0,28.0,2.0,5.0,17.0,36.0
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",20-07-2023 23:00:00,73.0,PM2.5,73.0,59.0,,,7.0,16.0,9.0
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",20-07-2023 23:00:00,78.0,PM10,35.0,78.0,39.0,4.0,15.0,26.0,12.0
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",20-07-2023 23:00:00,39.0,PM10,39.0,39.0,2.0,,2.0,14.0,2.0
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",20-07-2023 23:00:00,216.0,PM2.5,216.0,207.0,30.0,3.0,74.0,153.0,48.0
India,Assam,Guwahati,"IITG, Guwahati - PCBA",20-07-2023 23:00:00,42.0,PM10,33.0,42.0,4.0,5.0,8.0,9.0,14.0
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",20-07-2023 23:00:00,104.0,CO,31.0,,3.0,1.0,10.0,104.0,80.0
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",20-07-2023 23:00:00,,,,,,,,39.0,16.0
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",20-07-2023 23:00:00,46.0,PM10,38.0,46.0,3.0,1.0,14.0,18.0,25.0
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",20-07-2023 23:00:00,94.0,PM10,81.0,94.0,11.0,1.0,2.0,2.0,43.0
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",20-07-2023 23:00:00,34.0,PM2.5,34.0,,19.0,6.0,5.0,8.0,3.0
India,Assam,Silchar,"Tarapur, Silchar - PCBA",20-07-2023 23:00:00,41.0,CO,5.0,5.0,4.0,,3.0,41.0,2.0
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",20-07-2023 23:00:00,32.0,SO2,15.0,28.0,13.0,4.0,32.0,10.0,11.0
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",20-07-2023 23:00:00,,,,,,,,38.0,58.0
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",20-07-2023 23:00:00,105.0,PM10,50.0,105.0,14.0,5.0,10.0,,28.0
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",20-07-2023 23:00:00,35.0,PM10,26.0,35.0,6.0,1.0,13.0,34.0,27.0
India,Bihar,Begusarai,"DRCC Anandpur, Begusarai - BSPCB",20-07-2023 23:00:00,157.0,PM10,67.0,157.0,66.0,4.0,20.0,27.0,21.0
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",20-07-2023 23:00:00,131.0,PM10,65.0,131.0,10.0,5.0,11.0,70.0,20.0
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",20-07-2023 23:00:00,61.0,CO,23.0,45.0,35.0,3.0,51.0,61.0,48.0
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",20-07-2023 23:00:00,90.0,CO,31.0,76.0,5.0,4.0,33.0,90.0,16.0
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",20-07-2023 23:00:00,,,,,9.0,,17.0,13.0,17.0
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",20-07-2023 23:00:00,57.0,CO,48.0,46.0,5.0,8.0,15.0,57.0,14.0
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",20-07-2023 23:00:00,63.0,OZONE,27.0,,12.0,,20.0,59.0,63.0
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",20-07-2023 23:00:00,89.0,CO,20.0,29.0,31.0,5.0,7.0,89.0,32.0
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",20-07-2023 23:00:00,43.0,NO2,36.0,37.0,43.0,3.0,6.0,22.0,24.0
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",20-07-2023 23:00:00,71.0,PM10,43.0,71.0,24.0,6.0,4.0,17.0,51.0
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",20-07-2023 23:00:00,71.0,PM10,29.0,71.0,41.0,5.0,17.0,44.0,23.0
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",20-07-2023 23:00:00,71.0,PM10,46.0,71.0,15.0,10.0,16.0,62.0,25.0
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",20-07-2023 23:00:00,44.0,PM10,31.0,44.0,22.0,2.0,4.0,27.0,13.0
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",20-07-2023 23:00:00,60.0,PM10,25.0,60.0,29.0,5.0,5.0,47.0,37.0
India,Bihar,Munger,"Town Hall, Munger - BSPCB",20-07-2023 23:00:00,130.0,PM10,43.0,130.0,76.0,12.0,32.0,90.0,22.0
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",20-07-2023 23:00:00,,,,,3.0,7.0,8.0,33.0,84.0
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",20-07-2023 23:00:00,87.0,PM10,58.0,87.0,8.0,4.0,5.0,68.0,15.0
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",20-07-2023 23:00:00,66.0,CO,45.0,,11.0,,19.0,66.0,59.0
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",20-07-2023 23:00:00,60.0,PM10,51.0,60.0,14.0,3.0,10.0,26.0,23.0
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",20-07-2023 23:00:00,61.0,PM10,37.0,61.0,25.0,2.0,7.0,30.0,32.0
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",20-07-2023 23:00:00,,,,,,,,24.0,23.0
India,Bihar,Patna,"Muradpur, Patna - BSPCB",20-07-2023 23:00:00,169.0,PM2.5,169.0,130.0,4.0,4.0,7.0,20.0,35.0
